"","project","round","change","count","size","ratio"
"84","470295cc33ed4","F1","ADD_CHAR",4,165,0.0242424242424242
"85","4702cd148e2f1","F1","ADD_CHAR",18,744,0.0241935483870968
"86","470327a780584","F1","ADD_CHAR",36,532,0.0676691729323308
"87","4703888546eeb","F1","ADD_CHAR",23,4987,0.00461199117706036
"88","47042bf80f6ed","F1","ADD_CHAR",1,99,0.0101010101010101
"89","47042c255fe99","F1","ADD_CHAR",5,174,0.028735632183908
"90","47042c4949ecc","F1","ADD_CHAR",19,7572,0.00250924458531432
"91","47042cf22932e","F1","ADD_CHAR",66,1401,0.0471092077087794
"92","470443bc1e2b2","F1","ADD_CHAR",13,13669,0.000951057136586436
"93","4704613de39a6","F1","ADD_CHAR",2,1788,0.00111856823266219
"94","470467677f591","F1","ADD_CHAR",19,6788,0.00279905715969358
"95","4704ed6571a4b","F1","ADD_CHAR",17,4812,0.00353283458021613
"96","470599e5e7231","F1","ADD_CHAR",9,587,0.0153321976149915
"97","4705a68920a92","F1","ADD_CHAR",3,1406,0.00213371266002845
"98","4706e78f6e63d","F1","ADD_CHAR",13,6531,0.00199050681365794
"99","4706f68ad2db7","F1","ADD_CHAR",2,1775,0.00112676056338028
"100","470707e858e9f","F1","ADD_CHAR",7,4325,0.00161849710982659
"101","4707aae1ba1b7","F1","ADD_CHAR",12,270,0.0444444444444444
"102","470842b39869a","F1","ADD_CHAR",1,798,0.0012531328320802
"103","47086b872f7ff","F1","ADD_CHAR",18,228,0.0789473684210526
"104","47090c659beef","F1","ADD_CHAR",100,9938,0.0100623867981485
"105","47099bcfc5545","F1","ADD_CHAR",2,1498,0.00133511348464619
"106","470a18a0bcbab","F1","ADD_CHAR",35,18298,0.00191277735271614
"107","470b21b524446","F1","ADD_CHAR",11,353,0.0311614730878187
"108","470c3f8f47700","F1","ADD_CHAR",18,10125,0.00177777777777778
"109","470c4117c67cf","F1","ADD_CHAR",20,10073,0.00198550580760449
"110","470c41cebf240","F1","ADD_CHAR",1,1006,0.00099403578528827
"111","470c5b3f21051","F1","ADD_CHAR",9,3751,0.00239936017062117
"112","470d4a1adba03","F1","ADD_CHAR",9,679,0.0132547864506627
"113","470d6ad64c675","F1","ADD_CHAR",14,3433,0.00407806583163414
"114","47102b6718852","F1","ADD_CHAR",9,2671,0.00336952452265069
"115","4710a35875673","F1","ADD_CHAR",101,33443,0.00302006398947463
"116","4710a3cd52093","F1","ADD_CHAR",11,7266,0.00151390035783099
"117","4710ed9f601cd","F1","ADD_CHAR",1,256,0.00390625
"118","4711976216b13","F1","ADD_CHAR",2,64,0.03125
"119","4712043fe5b10","F1","ADD_CHAR",2,1754,0.00114025085518814
"120","4712b3c0d4075","F1","ADD_CHAR",23,4846,0.00474618241848948
"121","471926aff0f06","F1","ADD_CHAR",96,14302,0.00671234792336736
"122","471ad031a9d2b","F1","ADD_CHAR",5,1220,0.00409836065573771
"123","471ada99e379d","F1","ADD_CHAR",14,5182,0.00270165959089155
"124","471b574e36a35","F1","ADD_CHAR",20,9001,0.00222197533607377
"125","471b934d68326","F1","ADD_CHAR",10,6554,0.00152578577967653
"126","471baab754890","F1","ADD_CHAR",10,6190,0.00161550888529887
"127","471bd17adea7b","F1","ADD_CHAR",2,1689,0.00118413262285376
"128","471c0c1f6b463","F1","ADD_CHAR",5,3451,0.00144885540423066
"129","471d35c11acce","F1","ADD_CHAR",393,23167,0.0169637846937454
"130","471e642cbb552","F1","ADD_CHAR",4,258,0.0155038759689922
"131","471ebc03d98f8","F1","ADD_CHAR",32,11560,0.0027681660899654
"132","471ef8e015034","F1","ADD_CHAR",15,1749,0.00857632933104631
"133","471f000feaf88","F1","ADD_CHAR",34,16803,0.00202344819377492
"134","471f94ff5ce2b","F1","ADD_CHAR",1,48,0.0208333333333333
"135","471f9ce7eec5f","F1","ADD_CHAR",8,1562,0.00512163892445583
"136","47215ac3a07f3","F1","ADD_CHAR",21,2080,0.0100961538461538
"137","4721c692c1ffd","F1","ADD_CHAR",20,1461,0.0136892539356605
"138","4721c79ad1349","F1","ADD_CHAR",7,208,0.0336538461538462
"139","4721c7ed9c966","F1","ADD_CHAR",342,5906,0.057907213003725
"140","4721c8b881f8a","F1","ADD_CHAR",2,185,0.0108108108108108
"141","4721c8eeb671f","F1","ADD_CHAR",1,189,0.00529100529100529
"142","4721c9372008c","F1","ADD_CHAR",29,772,0.0375647668393782
"143","47223e4db3eb7","F1","ADD_CHAR",1,389,0.0025706940874036
"144","472290155979b","F1","ADD_CHAR",9,4772,0.00188600167644593
"145","472375e404762","F1","ADD_CHAR",18,7553,0.00238315900966503
"146","4724bb0db9d66","F1","ADD_CHAR",22,3259,0.00675053697453206
"147","472526bf68760","F1","ADD_CHAR",17,5828,0.00291695264241592
"148","47252dc3d34c5","F1","ADD_CHAR",19,4248,0.00447269303201507
"149","47280d0307b04","F1","ADD_CHAR",14,4527,0.0030925557764524
"150","472cb8083a618","F1","ADD_CHAR",2,826,0.00242130750605327
"151","472d0dca6f4cd","F1","ADD_CHAR",21,1230,0.0170731707317073
"152","472e66582f6a8","F1","ADD_CHAR",37,14203,0.00260508343307752
"153","472e6ba72d0dc","F1","ADD_CHAR",57,2267,0.0251433612704014
"154","472e8bf6b651f","F1","ADD_CHAR",41,8651,0.004739336492891
"155","4730c160392f6","F1","ADD_CHAR",1,307,0.00325732899022801
"156","47312ec949df7","F1","ADD_CHAR",6,628,0.00955414012738853
"157","47340bf9c5e94","F1","ADD_CHAR",14,2245,0.00623608017817372
"158","47346213cfcd4","F1","ADD_CHAR",8,7503,0.00106624017059843
"159","4734635967235","F1","ADD_CHAR",3,96,0.03125
"160","47354cf66b6a4","F1","ADD_CHAR",1,213,0.00469483568075117
"161","4735f26654a7a","F1","ADD_CHAR",2,186,0.010752688172043
"162","4735f58649c3e","F1","ADD_CHAR",4,2935,0.00136286201022147
"163","473604cd51f6d","F1","ADD_CHAR",7,1957,0.00357690342360756
